timestamp;station;username;tag;text;value;operatorType;originTable;alarmType;categoryNumber;offTimestamp
2026-02-27T12:00:01.000Z;Drivdal;AGC;DRIVDAL_G1_KONTROLL_AGC_DB_SP;G1 AGC Settpunkt fra Database - AGC settpunkt sendt til Kraftverk;2,2;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-26T17:13:01.000Z;Drivdal;AGC;DRIVDAL_G1_KONTROLL_AGC_DB_SP;G1 AGC Settpunkt fra Database - AGC settpunkt sendt til Kraftverk;2,143;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-26T17:12:16.000Z;Drivdal;KRAFTSCADA\kenneth.mydland;DRIVDAL_G1_KONTROLL_AGC_AKTIV;G1 AGC Aktivert - aktivert/deaktivert;0;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-26T12:03:23.000Z;Drivdal;KRAFTSCADA\kenneth.mydland;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;G1 regulering effekt settpunkt Setpunkt - Ny grense;Gammel:, Ny:2100;DRIVDAL.G1.KONTROLL.REG_P_SP;operatorlog;;;
2026-02-26T12:03:10.000Z;Drivdal;KRAFTSCADA\kenneth.mydland;DRIVDAL_G1_KONTROLL_AGC_AKTIV;G1 AGC Aktivert - aktivert/deaktivert;1;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-26T11:43:02.000Z;Drivdal;Drivdal;DRIVDAL_INNTAK_NIVA_OPPSTROM_REF_HRV_HH_AL;Inntak vannivå oppstrøms ref HRV - Høy-høy alarm,   0,3 cm;;;alarmlog;alarm;1;2026-03-05T15:26:33.000Z
2026-02-25T21:03:00.000Z;Drivdal;AGC;DRIVDAL_G1_KONTROLL_AGC_DB_SP;G1 AGC Settpunkt fra Database - AGC settpunkt sendt til Kraftverk;1,429;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-25T21:02:55.000Z;Drivdal;KRAFTSCADA\kenneth.mydland;DRIVDAL_G1_KONTROLL_AGC_AKTIV;G1 AGC Aktivert - aktivert/deaktivert;0;DRIVDAL.G1.KONTROLL.AGC;operatorlog;;;
2026-02-25T12:12:44.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;G1 regulering effekt settpunkt Setpunkt - Ny grense;Gammel:, Ny:1500;DRIVDAL.G1.KONTROLL.REG_P_SP;operatorlog;;;
2026-02-25T12:12:24.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;G1 regulering effekt settpunkt Setpunkt - Ny grense;Gammel:, Ny:1000;DRIVDAL.G1.KONTROLL.REG_P_SP;operatorlog;;;
2026-02-25T12:12:04.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_CMD;G1 regulering effekt - Ny kommando;1;DRIVDAL.G1.KONTROLL.REG_P;operatorlog;;;
2026-02-25T12:12:04.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_REG_P_NIVA_L;G1 regulering effekt/nivå Effekt;;;alarmlog;event;3;2026-03-14T16:50:37.000Z
2026-02-25T12:11:53.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_NIVA_CMD;G1 regulering nivå - Ny kommando;1;DRIVDAL.G1.KONTROLL.REG_NIVA;operatorlog;;;
2026-02-25T12:11:52.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_REG_P_NIVA_H;G1 regulering effekt/nivå Vannstand;;;alarmlog;event;3;2026-02-25T12:12:04.000Z
2026-02-25T12:11:12.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_DRIFT_AL;G1 i drift;;;alarmlog;event;3;2026-03-08T02:01:01.000Z
2026-02-25T12:11:12.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_H;G1 generator effektbryter ute/inne Inne;;;alarmlog;event;3;2026-03-08T02:01:40.000Z
2026-02-25T12:09:57.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;G1 regulering effekt settpunkt Setpunkt - Ny grense;Gammel:, Ny:1500;DRIVDAL.G1.KONTROLL.REG_P_SP;operatorlog;;;
2026-02-25T12:09:45.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_CMD;G1 regulering effekt - Ny kommando;1;DRIVDAL.G1.KONTROLL.REG_P;operatorlog;;;
2026-02-25T12:09:45.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_REG_P_NIVA_L;G1 regulering effekt/nivå Effekt;;;alarmlog;event;3;2026-02-25T12:11:52.000Z
2026-02-25T12:03:37.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTER_AL;G1 startsekvens pågår;;;alarmlog;event;3;2026-02-25T12:11:12.000Z
2026-02-25T11:56:22.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTSEKVENS_KLAR_AL;G1 startsekvens klar;;;alarmlog;event;3;2026-02-25T12:03:37.000Z
2026-02-25T11:47:27.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_L;G1 generator effektbryter ute/inne Ute;;;alarmlog;event;3;2026-02-25T12:11:12.000Z
2026-02-25T11:47:26.000Z;Drivdal;Drivdal;DRIVDAL_G1_TRAFO_DIFFVERN_KRITISK_AL;G1 trafo differensialvern kritisk;;;alarmlog;alarm;1;2026-02-25T11:56:18.000Z
2026-02-25T11:43:35.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_NIVA_CMD;G1 regulering nivå - Ny kommando;1;DRIVDAL.G1.KONTROLL.REG_NIVA;operatorlog;;;
2026-02-25T11:43:35.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_REG_P_NIVA_H;G1 regulering effekt/nivå Vannstand;;;alarmlog;event;3;2026-02-25T12:09:45.000Z
2026-02-25T11:40:25.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_DRIFT_AL;G1 i drift;;;alarmlog;event;3;2026-02-25T11:47:26.000Z
2026-02-25T11:40:25.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_H;G1 generator effektbryter ute/inne Inne;;;alarmlog;event;3;2026-02-25T11:47:27.000Z
2026-02-25T11:33:39.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTER_AL;G1 startsekvens pågår;;;alarmlog;event;3;2026-02-25T11:40:25.000Z
2026-02-25T11:33:35.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTSEKVENS_KLAR_AL;G1 startsekvens klar;;;alarmlog;event;3;2026-02-25T11:33:39.000Z
2026-02-25T10:48:54.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_L;G1 generator effektbryter ute/inne Ute;;;alarmlog;event;3;2026-02-25T10:48:53.000Z
2026-02-25T10:48:54.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_L;G1 generator effektbryter ute/inne Ute;;;alarmlog;event;3;2026-02-25T11:40:25.000Z
2026-02-25T10:48:53.000Z;Drivdal;Drivdal;DRIVDAL_G1_TRAFO_DIFFVERN_KRITISK_AL;G1 trafo differensialvern kritisk;;;alarmlog;alarm;1;2026-02-25T10:48:52.000Z
2026-02-25T10:48:53.000Z;Drivdal;Drivdal;DRIVDAL_G1_TRAFO_DIFFVERN_KRITISK_AL;G1 trafo differensialvern kritisk;;;alarmlog;alarm;1;2026-02-25T11:33:34.000Z
2026-02-25T10:46:50.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_DRIFT_AL;G1 i drift;;;alarmlog;event;3;2026-02-25T10:48:53.000Z
2026-02-25T10:46:50.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_H;G1 generator effektbryter ute/inne Inne;;;alarmlog;event;3;2026-02-25T10:48:54.000Z
2026-02-25T10:40:46.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTER_AL;G1 startsekvens pågår;;;alarmlog;event;3;2026-02-25T10:46:50.000Z
2026-02-25T10:40:38.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTSEKVENS_KLAR_AL;G1 startsekvens klar;;;alarmlog;event;3;2026-02-25T10:40:46.000Z
2026-02-25T10:34:20.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_L;G1 generator effektbryter ute/inne Ute;;;alarmlog;event;3;2026-02-25T10:46:50.000Z
2026-02-25T10:34:19.000Z;Drivdal;Drivdal;DRIVDAL_G1_TRAFO_DIFFVERN_KRITISK_AL;G1 trafo differensialvern kritisk;;;alarmlog;alarm;1;2026-02-25T10:40:38.000Z
2026-02-25T08:09:59.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_SP_SP_LAST;G1 regulering effekt settpunkt Setpunkt - Ny grense;Gammel:, Ny:1500;DRIVDAL.G1.KONTROLL.REG_P_SP;operatorlog;;;
2026-02-25T08:09:52.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_G1_KONTROLL_REG_P_CMD;G1 regulering effekt - Ny kommando;1;DRIVDAL.G1.KONTROLL.REG_P;operatorlog;;;
2026-02-25T08:09:52.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_REG_P_NIVA_L;G1 regulering effekt/nivå Effekt;;;alarmlog;event;3;2026-02-25T11:43:35.000Z
2026-02-25T08:07:19.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_DRIFT_AL;G1 i drift;;;alarmlog;event;3;2026-02-25T10:34:19.000Z
2026-02-25T08:07:19.000Z;Drivdal;Drivdal;DRIVDAL_G1_GEN_EFFEKTBRYTER_UTE_INNE_H;G1 generator effektbryter ute/inne Inne;;;alarmlog;event;3;2026-02-25T10:34:20.000Z
2026-02-25T08:00:55.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTER_AL;G1 startsekvens pågår;;;alarmlog;event;3;2026-02-25T08:07:19.000Z
2026-02-25T08:00:49.000Z;Drivdal;Drivdal;DRIVDAL_G1_KONTROLL_STARTSEKVENS_KLAR_AL;G1 startsekvens klar;;;alarmlog;event;3;2026-02-25T08:00:55.000Z
2026-02-25T08:00:22.000Z;Drivdal;KRAFTSCADA\geir.skaara;DRIVDAL_;Oppkobling til lokalt display;;DRIVDAL;operatorlog;;;
